rank,root_domain,domain_analysis,linking_root_domains,domain_authority
238,nginx.org,View analysis,"631,960",93
239,britannica.com,View analysis,"405,560",93
240,gmail.com,View analysis,"209,690",93
241,yahoo.co.jp,View analysis,"630,316",93
242,thetimes.co.uk,View analysis,"370,650",93
243,ipv4.google.com,View analysis,"349,093",93
244,shopify.com,View analysis,"1,733,376",93
245,academia.edu,View analysis,"350,073",93
246,npr.org,View analysis,"767,481",93
247,afternic.com,View analysis,"2,239,957",93
248,kickstarter.com,View analysis,"455,159",93
249,naver.com,View analysis,"480,807",93
250,addthis.com,View analysis,"689,030",93
251,surveymonkey.com,View analysis,"432,870",93
252,google.nl,View analysis,"245,521",93
253,unesco.org,View analysis,"304,472",93
254,my.yahoo.com,View analysis,"1,164,349",93
255,urbandictionary.com,View analysis,"246,231",93
256,www.wikipedia.org,View analysis,"532,971",93
257,bloglovin.com,View analysis,"504,458",93
258,umich.edu,View analysis,"325,979",93
259,hm.com,View analysis,"179,637",93
260,doubleclick.net,View analysis,"623,278",93
261,newyorker.com,View analysis,"396,474",93
262,wiley.com,View analysis,"547,095",93
263,sky.com,View analysis,"212,595",93
264,indiatimes.com,View analysis,"411,657",93
265,discord.com,View analysis,"277,594",93
266,akamaihd.net,View analysis,"504,812",93
267,nginx.com,View analysis,"545,478",93
268,cbc.ca,View analysis,"437,051",93
269,spotify.com,View analysis,"1,360,487",93
270,nydailynews.com,View analysis,"362,546",93
271,psychologytoday.com,View analysis,"343,775",93
272,chicagotribune.com,View analysis,"351,050",93
273,sfgate.com,View analysis,"365,276",93
274,amzn.to,View analysis,"856,335",93
275,leparisien.fr,View analysis,"121,804",93
276,ca.gov,View analysis,"441,471",93
277,whitehouse.gov,View analysis,"369,888",93
278,icann.org,View analysis,"597,239",93
279,espn.com,View analysis,"363,474",93
280,fda.gov,View analysis,"337,044",93
281,target.com,View analysis,"270,468",93
282,ziddu.com,View analysis,"185,561",93
283,privacyshield.gov,View analysis,"429,474",93
284,ibm.com,View analysis,"487,548",93
285,sedo.com,View analysis,"2,423,006",93
286,ggpht.com,View analysis,"682,493",93
287,apache.org,View analysis,"940,483",93
288,pixabay.com,View analysis,"396,236",93
289,sciencedaily.com,View analysis,"339,869",93
290,sputniknews.com,View analysis,"167,854",93
291,www.gov.br,View analysis,"133,687",93
292,id.wikipedia.org,View analysis,"500,228",93
293,yandex.ru,View analysis,"989,008",93
294,detik.com,View analysis,"384,355",93
295,theatlantic.com,View analysis,"532,180",93
296,adssettings.google.com,View analysis,"345,828",93
297,newsweek.com,View analysis,"323,256",93
298,dw.com,View analysis,"313,647",93
299,goodreads.com,View analysis,"855,270",93
300,economist.com,View analysis,"360,647",93
301,washington.edu,View analysis,"342,534",93
302,pexels.com,View analysis,"268,351",93
303,tripadvisor.com,View analysis,"581,766",93
304,20minutos.es,View analysis,"155,912",93
305,addtoany.com,View analysis,"728,808",93
306,oracle.com,View analysis,"555,433",93
307,nationalgeographic.com,View analysis,"610,524",93
308,rtve.es,View analysis,"177,142",93
309,photobucket.com,View analysis,"1,695,911",93
310,feedproxy.google.com,View analysis,"782,211",93
311,huawei.com,View analysis,"1,851,364",93
312,code.google.com,View analysis,"329,002",93
313,bing.com,View analysis,"971,192",93
314,hatena.ne.jp,View analysis,"1,364,482",93
315,asus.com,View analysis,"147,521",93
316,lycos.com,View analysis,"678,543",93
317,cnil.fr,View analysis,"194,106",93
318,rt.com,View analysis,"278,481",93
319,ikea.com,View analysis,"318,525",93
320,latimes.com,View analysis,"699,632",93
321,steampowered.com,View analysis,"252,591",93
322,quora.com,View analysis,"380,015",93
323,ea.com,View analysis,"180,459",93
324,spiegel.de,View analysis,"325,747",93
325,cambridge.org,View analysis,"290,299",93
326,gizmodo.com,View analysis,"393,997",93
327,weibo.com,View analysis,"1,425,029",93
328,springer.com,View analysis,"426,716",93
329,cnbc.com,View analysis,"496,138",93
330,instructables.com,View analysis,"319,109",93
331,box.com,View analysis,"262,744",93
332,nikkei.com,View analysis,"216,189",93
333,nypost.com,View analysis,"358,241",93
334,godaddy.com,View analysis,"2,457,733",93
335,mozilla.com,View analysis,"201,622",93
336,metro.co.uk,View analysis,"225,374",93
337,sendspace.com,View analysis,"154,897",93
338,nokia.com,View analysis,"164,233",93
339,groups.google.com,View analysis,"332,539",93
340,home.neustar,View analysis,"466,274",93
341,liberation.fr,View analysis,"121,680",93
342,ovh.com,View analysis,"478,569",93
343,rapidshare.com,View analysis,"288,157",93
344,lavanguardia.com,View analysis,"134,129",93
345,cornell.edu,View analysis,"424,495",93
346,zendesk.com,View analysis,"484,447",93
347,gofundme.com,View analysis,"330,189",93
348,bp2.blogger.com,View analysis,"545,732",93
349,ft.com,View analysis,"433,941",93
350,alexa.com,View analysis,"313,995",93
351,ytimg.com,View analysis,"524,260",93
352,abc.es,View analysis,"191,066",93
353,google.co.in,View analysis,"265,466",93
354,gooyaabitemplates.com,View analysis,"417,925",93
355,mashable.com,View analysis,"410,520",93
356,shutterstock.com,View analysis,"382,245",93
357,translate.google.com,View analysis,"291,349",93
358,finance.yahoo.com,View analysis,"439,621",93
359,theverge.com,View analysis,"365,572",93
360,doi.org,View analysis,"433,542",93
361,sapo.pt,View analysis,"224,216",93
362,playstation.com,View analysis,"218,685",93
363,about.com,View analysis,"751,904",93
364,orange.fr,View analysis,"178,502",93
365,instagram.com,View analysis,"24,532,577",93
366,researchgate.net,View analysis,"522,844",93
367,vice.com,View analysis,"371,684",93
368,clarin.com,View analysis,"131,931",93
369,www.over-blog.com,View analysis,"820,681",93
370,yadi.sk,View analysis,"180,652",93
371,kakao.com,View analysis,"124,026",93
372,variety.com,View analysis,"254,090",93
373,googleblog.com,View analysis,"255,332",93
374,webmd.com,View analysis,"645,941",93
375,google.ca,View analysis,"332,265",93
376,ted.com,View analysis,"599,068",93
377,amazon.it,View analysis,"146,678",93
378,google.com.tw,View analysis,"142,225",93
379,ovh.co.uk,View analysis,"400,307",92
380,abc.com,View analysis,"156,532",92
381,corriere.it,View analysis,"167,263",92
382,jhu.edu,View analysis,"222,539",92
383,softonic.com,View analysis,"147,301",92
384,orkut.com.br,View analysis,"130,020",92
385,linktr.ee,View analysis,"262,122",92
386,axs.com,View analysis,"252,104",92
387,cisco.com,View analysis,"225,953",92
388,debian.org,View analysis,"392,240",92
389,dreniq.com,View analysis,"296,418",92
390,salesforce.com,View analysis,"189,096",92
391,coursera.org,View analysis,"166,359",92
392,qz.com,View analysis,"226,833",92
393,airbnb.com,View analysis,"199,946",92
394,iso.org,View analysis,"188,572",92
395,usnews.com,View analysis,"397,991",92
396,www.livejournal.com,View analysis,"2,998,269",92
397,si.edu,View analysis,"270,951",92
398,alibaba.com,View analysis,"380,123",92
399,weather.com,View analysis,"222,573",92
400,mystrikingly.com,View analysis,"320,382",92
401,namesilo.com,View analysis,"276,333",92
402,archives.gov,View analysis,"246,029",92
403,over-blog-kiwi.com,View analysis,"196,891",92
404,pcmag.com,View analysis,"244,714",92
405,g.co,View analysis,"134,764",92
406,ieee.org,View analysis,"214,562",92
407,thoughtco.com,View analysis,"348,972",92
408,m.me,View analysis,"206,500",92
409,sagepub.com,View analysis,"304,275",92
410,public-api.wordpress.com,View analysis,"193,009",92
411,mysql.com,View analysis,"401,211",92
412,redbull.com,View analysis,"137,390",92
413,oecd.org,View analysis,"187,630",92
414,google.com.au,View analysis,"211,866",92
415,billboard.com,View analysis,"199,005",92
416,focus.de,View analysis,"130,284",92
417,about.me,View analysis,"348,531",92
418,freepik.com,View analysis,"248,762",92
419,cbslocal.com,View analysis,"326,508",92
420,ads.google.com,View analysis,"141,654",92
421,goo.ne.jp,View analysis,"308,783",92
422,intel.com,View analysis,"237,590",92
423,steamcommunity.com,View analysis,"189,824",92
424,netlify.app,View analysis,"323,020",92
425,e-monsite.com,View analysis,"142,877",92
426,marketwatch.com,View analysis,"341,132",92
427,hbr.org,View analysis,"280,024",92
428,ucoz.ru,View analysis,"186,161",92
429,windowsphone.com,View analysis,"121,323",92
430,fortune.com,View analysis,"248,124",92
431,usgs.gov,View analysis,"219,165",92
432,pnas.org,View analysis,"204,046",92
433,blog.fc2.com,View analysis,"363,883",92
434,excite.co.jp,View analysis,"487,462",92
435,tes.com,View analysis,"409,206",92
436,howstuffworks.com,View analysis,"293,810",92
437,amazon.ca,View analysis,"216,372",92
438,salon.com,View analysis,"265,231",92
439,com.com,View analysis,"228,300",92
440,stuff.co.nz,View analysis,"164,360",92
441,naver.jp,View analysis,"131,103",92
442,faz.net,View analysis,"155,420",92
443,adweek.com,View analysis,"189,972",92
444,newscientist.com,View analysis,"217,626",92
445,jstor.org,View analysis,"205,707",92
446,noaa.gov,View analysis,"313,888",92
447,fifa.com,View analysis,"157,775",92
448,canva.com,View analysis,"204,266",92
449,sina.com.cn,View analysis,"1,019,265",92
450,amazon.in,View analysis,"173,336",92
451,dot.tk,View analysis,"9,138,814",92
452,rottentomatoes.com,View analysis,"233,983",92
453,tiktok.com,View analysis,"274,835",92
454,evernote.com,View analysis,"305,468",92
455,prnewswire.com,View analysis,"384,926",92
456,vkontakte.ru,View analysis,"359,095",92
457,redhat.com,View analysis,"218,599",92
458,marriott.com,View analysis,"358,710",92
459,giphy.com,View analysis,"395,049",92
460,merriam-webster.com,View analysis,"271,572",92
461,groups.yahoo.com,View analysis,"313,370",92
462,bund.de,View analysis,"502,519",92
463,techradar.com,View analysis,"153,216",92
464,utexas.edu,View analysis,"256,352",92
465,unsplash.com,View analysis,"464,633",92
466,narod.ru,View analysis,"272,658",92
467,nicovideo.jp,View analysis,"143,936",92
468,calameo.com,View analysis,"166,725",92
469,000webhost.com,View analysis,"269,330",92
470,etsy.com,View analysis,"1,704,565",92
471,ap.org,View analysis,"188,234",92
472,gamestop.com,View analysis,"133,072",92
473,lifehacker.com,View analysis,"228,351",92
474,histats.com,View analysis,"455,689",92
475,entrepreneur.com,View analysis,"267,954",92
476,scoop.it,View analysis,"345,861",92
477,digitaltrends.com,View analysis,"203,762",92
478,theglobeandmail.com,View analysis,"249,864",92
479,dictionary.com,View analysis,"307,509",92
480,wn.com,View analysis,"210,506",92
481,biblegateway.com,View analysis,"270,581",92
482,offset.com,View analysis,"1,140,154",92
483,e-recht24.de,View analysis,"462,737",92
484,eff.org,View analysis,"158,474",92
485,storage.canalblog.com,View analysis,"295,384",92
486,arstechnica.com,View analysis,"238,077",92
487,mailchimp.com,View analysis,"351,184",92
488,twimg.com,View analysis,"524,117",92
489,viglink.com,View analysis,"404,470",92
490,unicef.org,View analysis,"166,356",92
491,espn.go.com,View analysis,"253,456",92
492,imgur.com,View analysis,"1,284,615",92
493,feedburner.google.com,View analysis,"329,339",92
494,bp0.blogger.com,View analysis,"545,568",92
495,last.fm,View analysis,"430,617",92
496,ubuntu.com,View analysis,"216,589",92
497,indiegogo.com,View analysis,"249,465",92
498,ftc.gov,View analysis,"244,354",92
499,prezi.com,View analysis,"290,299",92
500,digg.com,View analysis,"841,866",92
